,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2021,,Brasil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,5 - Comércio,,,Total,,,
,,,2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,VILA PAVAO,32,49,17,53.13,161,160,-1,-0.62,12,15,3,25.00,213,240,27,12.68,471,373,-98,-20.81,889,837,-52,-5.85
,ES,VILA VALERIO,389,422,33,8.48,60,63,3,5.00,26,35,9,34.62,456,507,51,11.18,663,"1,018",355,53.54,"1,594","2,045",451,28.29
,ES,VILA VELHA,107,105,-2,-1.87,"11,003","11,525",522,4.74,"4,863","5,514",651,13.39,"26,873","28,972","2,099",7.81,"53,789","56,161","2,372",4.41,"96,635","102,277","5,642",5.84
,ES,VITORIA,700,706,6,0.86,"11,438","11,676",238,2.08,"7,152","8,741","1,589",22.22,"21,627","23,115","1,488",6.88,"168,492","165,762","-2,730",-1.62,"209,409","210,000",591,0.28
,RJ,ANGRA DOS REIS,237,353,116,48.95,"5,176","5,779",603,11.65,790,"1,132",342,43.29,"7,171","7,971",800,11.16,"19,481","21,223","1,742",8.94,"32,855","36,458","3,603",10.97
,RJ,APERIBE,8,3,-5,-62.50,425,454,29,6.82,9,7,-2,-22.22,285,379,94,32.98,251,"1,361","1,110",442.23,978,"2,204","1,226",125.36
,RJ,ARARUAMA,372,399,27,7.26,"1,302","1,355",53,4.07,"1,501",635,-866,-57.69,"5,928","6,022",94,1.59,"10,520","13,588","3,068",29.16,"19,623","21,999","2,376",12.11
,RJ,AREAL,104,107,3,2.88,554,559,5,0.90,169,372,203,120.12,325,370,45,13.85,"1,605","1,543",-62,-3.86,"2,757","2,951",194,7.04
,RJ,ARMACAO DOS BUZIOS,4,3,-1,-25.00,92,103,11,11.96,123,59,-64,-52.03,"2,509","2,925",416,16.58,"9,011","10,372","1,361",15.10,"11,739","13,462","1,723",14.68
,RJ,ARRAIAL DO CABO,0,0,0,#DIV/0!,54,90,36,66.67,52,76,24,46.15,"1,061","1,011",-50,-4.71,"2,925","5,291","2,366",80.89,"4,092","6,468","2,376",58.06
,RJ,BARRA DO PIRAI,451,457,6,1.33,"2,775","3,164",389,14.02,695,622,-73,-10.50,"4,531","4,481",-50,-1.10,"7,861","7,485",-376,-4.78,"16,313","16,209",-104,-0.64
,RJ,BARRA MANSA,218,306,88,40.37,"4,602","4,270",-332,-7.21,874,938,64,7.32,"7,599","7,450",-149,-1.96,"19,290","18,881",-409,-2.12,"32,583","31,845",-738,-2.26
,RJ,BELFORD ROXO,11,4,-7,-63.64,"1,678","1,804",126,7.51,654,591,-63,-9.63,"8,290","8,787",497,6.00,"13,722","25,366","11,644",84.86,"24,355","36,552","12,197",50.08
,RJ,BOM JARDIM,282,275,-7,-2.48,"1,079","1,243",164,15.20,52,140,88,169.23,"1,206","1,320",114,9.45,"1,974","2,291",317,16.06,"4,593","5,269",676,14.72
,RJ,BOM JESUS DO ITABAPOANA,226,245,19,8.41,521,588,67,12.86,33,44,11,33.33,"1,427","1,528",101,7.08,"3,239","3,467",228,7.04,"5,446","5,872",426,7.82
,RJ,CABO FRIO,137,153,16,11.68,"1,611","1,691",80,4.97,782,792,10,1.28,"10,771","11,440",669,6.21,"25,894","30,431","4,537",17.52,"39,195","44,507","5,312",13.55
,RJ,CACHOEIRAS DE MACACU,536,505,-31,-5.78,"1,393","1,384",-9,-0.65,194,339,145,74.74,"1,363","1,386",23,1.69,"3,323","3,781",458,13.78,"6,809","7,395",586,8.61
,RJ,CAMBUCI,103,111,8,7.77,154,142,-12,-7.79,10,11,1,10.00,223,283,60,26.91,811,"1,230",419,51.66,"1,301","1,777",476,36.59
,RJ,CARAPEBUS,40,39,-1,-2.50,79,86,7,8.86,6,4,-2,-33.33,236,254,18,7.63,"1,350","1,691",341,25.26,"1,711","2,074",363,21.22
,RJ,COMENDADOR LEVY GASPARIAN,33,30,-3,-9.09,888,841,-47,-5.29,3,13,10,333.33,495,528,33,6.67,839,"1,089",250,29.80,"2,258","2,501",243,10.76
,RJ,CAMPOS DOS GOYTACAZES,"1,811","1,492",-319,-17.61,"6,985","7,207",222,3.18,"3,035","3,447",412,13.57,"22,971","22,758",-213,-0.93,"49,295","50,190",895,1.82,"84,097","85,094",997,1.19
,RJ,CANTAGALO,193,190,-3,-1.55,831,871,40,4.81,70,82,12,17.14,563,636,73,12.97,"1,752","1,794",42,2.40,"3,409","3,573",164,4.81
,RJ,CARDOSO MOREIRA,152,164,12,7.89,93,154,61,65.59,20,44,24,120.00,329,385,56,17.02,837,"1,194",357,42.65,"1,431","1,941",510,35.64
,RJ,CARMO,105,146,41,39.05,442,466,24,5.43,105,86,-19,-18.10,505,535,30,5.94,"2,069","2,639",570,27.55,"3,226","3,872",646,20.02
,RJ,CASIMIRO DE ABREU,193,179,-14,-7.25,320,346,26,8.13,274,343,69,25.18,"1,633","1,916",283,17.33,"3,839","4,045",206,5.37,"6,259","6,829",570,9.11
,RJ,CONCEICAO DE MACABU,133,121,-12,-9.02,95,125,30,31.58,3,27,24,800.00,458,447,-11,-2.40,"1,713","1,713",0,0.00,"2,402","2,433",31,1.29
,RJ,CORDEIRO,93,94,1,1.08,810,939,129,15.93,159,135,-24,-15.09,707,761,54,7.64,"1,467","1,606",139,9.48,"3,236","3,535",299,9.24
,RJ,DUAS BARRAS,226,229,3,1.33,175,173,-2,-1.14,41,31,-10,-24.39,216,235,19,8.80,686,734,48,7.00,"1,344","1,402",58,4.32
,RJ,DUQUE DE CAXIAS,26,13,-13,-50.00,"18,153","18,182",29,0.16,"4,312","5,315","1,003",23.26,"42,489","43,010",521,1.23,"80,307","85,001","4,694",5.85,"145,287","151,521","6,234",4.29
,RJ,ENGENHEIRO PAULO DE FRONTIN,60,52,-8,-13.33,285,552,267,93.68,2,1,-1,-50.00,250,272,22,8.80,"1,010","1,501",491,48.61,"1,607","2,378",771,47.98
,RJ,GUAPIMIRIM,58,52,-6,-10.34,825,936,111,13.45,119,225,106,89.08,"1,446","1,685",239,16.53,"2,832","5,516","2,684",94.77,"5,280","8,414","3,134",59.36
,RJ,IGUABA GRANDE,4,7,3,75.00,37,48,11,29.73,12,11,-1,-8.33,756,740,-16,-2.12,"1,511","1,586",75,4.96,"2,320","2,392",72,3.10
,RJ,ITABORAI,157,158,1,0.64,"3,024","3,128",104,3.44,"4,265","3,816",-449,-10.53,"7,854","8,032",178,2.27,"13,398","17,050","3,652",27.26,"28,698","32,184","3,486",12.15
,RJ,ITAGUAI,70,76,6,8.57,"4,093","3,993",-100,-2.44,"1,832","1,941",109,5.95,"4,761","4,956",195,4.10,"14,834","15,844","1,010",6.81,"25,590","26,810","1,220",4.77
,RJ,ITALVA,47,63,16,34.04,304,303,-1,-0.33,254,238,-16,-6.30,574,588,14,2.44,813,883,70,8.61,"1,992","2,075",83,4.17
,RJ,ITAOCARA,79,75,-4,-5.06,332,337,5,1.51,62,90,28,45.16,881,980,99,11.24,"1,800","1,903",103,5.72,"3,154","3,385",231,7.32
,RJ,ITAPERUNA,511,563,52,10.18,"3,462","4,101",639,18.46,"1,397",910,-487,-34.86,"5,474","5,772",298,5.44,"9,894","11,349","1,455",14.71,"20,738","22,695","1,957",9.44
,RJ,ITATIAIA,7,11,4,57.14,"3,118","3,420",302,9.69,164,245,81,49.39,863,942,79,9.15,"5,255","6,413","1,158",22.04,"9,407","11,031","1,624",17.26
,RJ,JAPERI,6,5,-1,-16.67,"1,673","1,919",246,14.70,94,226,132,140.43,"1,562","1,416",-146,-9.35,"3,952","4,785",833,21.08,"7,287","8,351","1,064",14.60
,RJ,LAJE DO MURIAE,102,74,-28,-27.45,170,166,-4,-2.35,1,1,0,0.00,69,84,15,21.74,864,835,-29,-3.36,"1,206","1,160",-46,-3.81
,RJ,MACAE,377,342,-35,-9.28,"30,129","31,359","1,230",4.08,"10,031","14,560","4,529",45.15,"12,447","12,963",516,4.15,"59,169","63,196","4,027",6.81,"112,153","122,420","10,267",9.15
,RJ,MACUCO,34,31,-3,-8.82,311,292,-19,-6.11,75,103,28,37.33,249,265,16,6.43,871,988,117,13.43,"1,540","1,679",139,9.03
,RJ,MAGE,37,32,-5,-13.51,"2,073","2,067",-6,-0.29,"1,270","1,777",507,39.92,"6,356","6,361",5,0.08,"9,757","17,757","8,000",81.99,"19,493","27,994","8,501",43.61
,RJ,MANGARATIBA,53,40,-13,-24.53,33,43,10,30.30,87,106,19,21.84,795,837,42,5.28,"7,121","9,398","2,277",31.98,"8,089","10,424","2,335",28.87
,RJ,MARICA,51,59,8,15.69,"1,011",974,-37,-3.66,"3,637","5,248","1,611",44.29,"5,781","6,558",777,13.44,"13,012","14,514","1,502",11.54,"23,492","27,353","3,861",16.44
,RJ,MENDES,8,6,-2,-25.00,163,143,-20,-12.27,38,71,33,86.84,565,642,77,13.63,"1,811","1,283",-528,-29.16,"2,585","2,145",-440,-17.02
,RJ,MESQUITA,1,1,0,0.00,"1,242","1,377",135,10.87,438,727,289,65.98,"3,437","3,588",151,4.39,"10,273","9,827",-446,-4.34,"15,391","15,520",129,0.84
,RJ,MIGUEL PEREIRA,110,102,-8,-7.27,95,89,-6,-6.32,173,90,-83,-47.98,"1,168","1,264",96,8.22,"2,391","2,848",457,19.11,"3,937","4,393",456,11.58
,RJ,MIRACEMA,180,160,-20,-11.11,595,569,-26,-4.37,182,198,16,8.79,900,990,90,10.00,"2,135","2,298",163,7.63,"3,992","4,215",223,5.59
,RJ,NATIVIDADE,212,227,15,7.08,85,28,-57,-67.06,39,23,-16,-41.03,357,389,32,8.96,"1,505","1,757",252,16.74,"2,198","2,424",226,10.28
,RJ,NILOPOLIS,4,4,0,0.00,519,565,46,8.86,355,358,3,0.85,"4,614","4,957",343,7.43,"10,497","11,138",641,6.11,"15,989","17,022","1,033",6.46
,RJ,NITEROI,180,297,117,65.00,"13,867","15,380","1,513",10.91,"6,458","7,626","1,168",18.09,"31,799","33,164","1,365",4.29,"114,125","118,119","3,994",3.50,"166,429","174,586","8,157",4.90
,RJ,NOVA FRIBURGO,217,221,4,1.84,"14,951","15,828",877,5.87,882,"1,022",140,15.87,"12,637","12,711",74,0.59,"20,253","22,243","1,990",9.83,"48,940","52,025","3,085",6.30
,RJ,NOVA IGUACU,39,33,-6,-15.38,"8,497","8,262",-235,-2.77,"2,102","2,155",53,2.52,"29,084","28,885",-199,-0.68,"49,317","51,962","2,645",5.36,"89,039","91,297","2,258",2.54
,RJ,PARACAMBI,19,20,1,5.26,"1,305","1,416",111,8.51,28,33,5,17.86,"1,401","1,317",-84,-6.00,"2,712","2,848",136,5.01,"5,465","5,634",169,3.09
,RJ,PARAIBA DO SUL,608,584,-24,-3.95,"1,910","2,001",91,4.76,49,60,11,22.45,"1,950","1,909",-41,-2.10,"4,434","4,491",57,1.29,"8,951","9,045",94,1.05
,RJ,PARATY,56,53,-3,-5.36,259,296,37,14.29,93,66,-27,-29.03,"1,971","2,255",284,14.41,"5,862","6,412",550,9.38,"8,241","9,082",841,10.21
,RJ,PATY DO ALFERES,170,186,16,9.41,650,663,13,2.00,21,43,22,104.76,985,"1,011",26,2.64,"1,941","1,902",-39,-2.01,"3,767","3,805",38,1.01
,RJ,PETROPOLIS,411,401,-10,-2.43,"11,487","12,200",713,6.21,"1,775","1,994",219,12.34,"15,909","16,203",294,1.85,"34,724","36,155","1,431",4.12,"64,306","66,953","2,647",4.12
,RJ,PINHEIRAL,26,25,-1,-3.85,798,878,80,10.03,30,27,-3,-10.00,627,663,36,5.74,"2,381","2,348",-33,-1.39,"3,862","3,941",79,2.05
,RJ,PIRAI,192,168,-24,-12.50,"2,561","2,392",-169,-6.60,102,132,30,29.41,"1,194","1,334",140,11.73,"4,476","4,478",2,0.04,"8,525","8,504",-21,-0.25
,RJ,PORCIUNCULA,97,104,7,7.22,221,252,31,14.03,2,1,-1,-50.00,398,443,45,11.31,"1,186","1,345",159,13.41,"1,904","2,145",241,12.66
,RJ,PORTO REAL,65,121,56,86.15,"3,581","3,806",225,6.28,105,132,27,25.71,915,898,-17,-1.86,"2,417","2,584",167,6.91,"7,083","7,541",458,6.47
,RJ,QUATIS,51,71,20,39.22,39,55,16,41.03,6,6,0,0.00,475,472,-3,-0.63,"1,360","1,516",156,11.47,"1,931","2,120",189,9.79
,RJ,QUEIMADOS,2,2,0,0.00,"2,725","3,530",805,29.54,259,263,4,1.54,"5,388","6,069",681,12.64,"6,821","7,141",320,4.69,"15,195","17,005","1,810",11.91
,RJ,QUISSAMA,122,124,2,1.64,233,209,-24,-10.30,38,40,2,5.26,373,431,58,15.55,"2,265","3,003",738,32.58,"3,031","3,807",776,25.60
,RJ,RESENDE,156,155,-1,-0.64,"8,196","8,879",683,8.33,"1,727","1,126",-601,-34.80,"6,062","7,020",958,15.80,"20,917","22,904","1,987",9.50,"37,058","40,084","3,026",8.17
,RJ,RIO BONITO,287,274,-13,-4.53,"1,505","1,525",20,1.33,157,167,10,6.37,"2,841","2,948",107,3.77,"9,370","9,879",509,5.43,"14,160","14,793",633,4.47
,RJ,RIO CLARO,384,463,79,20.57,52,54,2,3.85,15,18,3,20.00,331,367,36,10.88,"1,458","1,578",120,8.23,"2,240","2,480",240,10.71
,RJ,RIO DAS FLORES,168,191,23,13.69,596,590,-6,-1.01,821,802,-19,-2.31,105,101,-4,-3.81,989,"1,029",40,4.04,"2,679","2,713",34,1.27
,RJ,RIO DAS OSTRAS,59,51,-8,-13.56,"4,294","5,422","1,128",26.27,"2,267","1,969",-298,-13.15,"6,003","6,694",691,11.51,"14,113","15,387","1,274",9.03,"26,736","29,523","2,787",10.42
,RJ,RIO DE JANEIRO,"1,287","1,304",17,1.32,"154,504","157,343","2,839",1.84,"84,174","85,088",914,1.09,"350,714","356,821","6,107",1.74,"1,483,536","1,508,858","25,322",1.71,"2,074,215","2,109,414","35,199",1.70
,RJ,SANTA MARIA MADALENA,203,206,3,1.48,102,128,26,25.49,2,7,5,250.00,116,132,16,13.79,800,"1,072",272,34.00,"1,223","1,545",322,26.33
,RJ,SANTO ANTONIO DE PADUA,168,167,-1,-0.60,"2,044","2,120",76,3.72,125,133,8,6.40,"1,846","1,954",108,5.85,"3,737","3,770",33,0.88,"7,920","8,144",224,2.83
,RJ,SAO FRANCISCO DE ITABAPOANA,569,618,49,8.61,120,133,13,10.83,11,10,-1,-9.09,899,926,27,3.00,"1,827","2,103",276,15.11,"3,426","3,790",364,10.62
,RJ,SAO FIDELIS,244,224,-20,-8.20,323,317,-6,-1.86,31,108,77,248.39,"1,206","1,294",88,7.30,"3,107","2,794",-313,-10.07,"4,911","4,737",-174,-3.54
,RJ,SAO GONCALO,18,23,5,27.78,"9,258","9,001",-257,-2.78,"4,819","6,447","1,628",33.78,"29,905","31,646","1,741",5.82,"57,908","61,069","3,161",5.46,"101,908","108,186","6,278",6.16
,RJ,SAO JOAO DA BARRA,100,85,-15,-15.00,"1,274","1,461",187,14.68,"1,558",534,"-1,024",-65.73,738,792,54,7.32,"7,480","8,753","1,273",17.02,"11,150","11,625",475,4.26
,RJ,SAO JOAO DE MERITI,0,1,1,#DIV/0!,"3,033","2,642",-391,-12.89,378,446,68,17.99,"14,667","15,543",876,5.97,"33,141","37,404","4,263",12.86,"51,219","56,036","4,817",9.40
,RJ,SAO JOSE DE UBA,77,49,-28,-36.36,45,38,-7,-15.56,10,3,-7,-70.00,145,201,56,38.62,953,918,-35,-3.67,"1,230","1,209",-21,-1.71
,RJ,SAO JOSE DO VALE DO RIO PRETO,513,461,-52,-10.14,"1,053","1,100",47,4.46,30,34,4,13.33,"1,079","1,019",-60,-5.56,"1,266","1,372",106,8.37,"3,941","3,986",45,1.14
,RJ,SAO PEDRO DA ALDEIA,107,107,0,0.00,781,870,89,11.40,502,473,-29,-5.78,"5,260","5,564",304,5.78,"9,917","12,830","2,913",29.37,"16,567","19,844","3,277",19.78
,RJ,SAO SEBASTIAO DO ALTO,131,130,-1,-0.76,9,19,10,111.11,0,0,0,#DIV/0!,114,110,-4,-3.51,786,"1,064",278,35.37,"1,040","1,323",283,27.21
,RJ,SAPUCAIA,355,329,-26,-7.32,701,831,130,18.54,39,34,-5,-12.82,"1,695","1,739",44,2.60,"1,944","1,545",-399,-20.52,"4,734","4,478",-256,-5.41
,RJ,SAQUAREMA,115,130,15,13.04,"1,188","1,235",47,3.96,293,289,-4,-1.37,"3,829","3,867",38,0.99,"8,633","10,126","1,493",17.29,"14,058","15,647","1,589",11.30
,RJ,SEROPEDICA,51,52,1,1.96,"2,302","2,811",509,22.11,153,122,-31,-20.26,"2,975","2,296",-679,-22.82,"9,072","9,617",545,6.01,"14,553","14,898",345,2.37
,RJ,SILVA JARDIM,487,476,-11,-2.26,127,127,0,0.00,897,799,-98,-10.93,539,515,-24,-4.45,"2,132","2,048",-84,-3.94,"4,182","3,965",-217,-5.19
,RJ,SUMIDOURO,202,214,12,5.94,476,540,64,13.45,0,4,4,#DIV/0!,393,396,3,0.76,858,935,77,8.97,"1,929","2,089",160,8.29
,RJ,TANGUA,49,39,-10,-20.41,537,644,107,19.93,363,379,16,4.41,733,808,75,10.23,"1,816","2,474",658,36.23,"3,498","4,344",846,24.19
,RJ,TERESOPOLIS,"1,679","1,761",82,4.88,"2,849","2,863",14,0.49,926,997,71,7.67,"9,304","10,366","1,062",11.41,"20,098","21,743","1,645",8.18,"34,856","37,730","2,874",8.25
,RJ,TRAJANO DE MORAES,75,78,3,4.00,40,64,24,60.00,5,2,-3,-60.00,156,151,-5,-3.21,860,"1,261",401,46.63,"1,136","1,556",420,36.97
,RJ,TRES RIOS,198,176,-22,-11.11,"5,919","6,166",247,4.17,650,889,239,36.77,"5,137","5,302",165,3.21,"10,048","9,705",-343,-3.41,"21,952","22,238",286,1.30
,RJ,VALENCA,419,421,2,0.48,"2,207","2,190",-17,-0.77,124,103,-21,-16.94,"2,258","2,086",-172,-7.62,"6,340","6,702",362,5.71,"11,348","11,502",154,1.36
,RJ,VARRE-SAI,42,41,-1,-2.38,53,27,-26,-49.06,17,14,-3,-17.65,181,171,-10,-5.52,813,900,87,10.70,"1,106","1,153",47,4.25
,RJ,VASSOURAS,343,367,24,7.00,569,557,-12,-2.11,112,203,91,81.25,"1,505","1,421",-84,-5.58,"5,461","5,665",204,3.74,"7,990","8,213",223,2.79
,RJ,VOLTA REDONDA,63,56,-7,-11.11,"20,787","21,737",950,4.57,"2,951","3,210",259,8.78,"16,157","16,582",425,2.63,"34,008","38,344","4,336",12.75,"73,966","79,929","5,963",8.06
,SP,ADAMANTINA,918,878,-40,-4.36,"1,698","1,499",-199,-11.72,240,302,62,25.83,"2,706","2,830",124,4.58,"4,427","4,939",512,11.57,"9,989","10,448",459,4.60
,SP,ADOLFO,276,280,4,1.45,42,40,-2,-4.76,137,109,-28,-20.44,102,96,-6,-5.88,418,367,-51,-12.20,975,892,-83,-8.51
,SP,AGUAI,"1,202","1,180",-22,-1.83,"1,946","2,149",203,10.43,102,113,11,10.78,"1,429","1,524",95,6.65,"2,120","2,284",164,7.74,"6,799","7,250",451,6.63
,SP,AGUAS DA PRATA,186,152,-34,-18.28,196,165,-31,-15.82,45,24,-21,-46.67,154,168,14,9.09,409,501,92,22.49,990,"1,010",20,2.02
,SP,AGUAS DE LINDOIA,53,58,5,9.43,654,757,103,15.75,39,54,15,38.46,833,913,80,9.60,"3,304","3,307",3,0.09,"4,883","5,089",206,4.22
,SP,AGUAS DE SANTA BARBARA,788,872,84,10.66,82,81,-1,-1.22,7,8,1,14.29,139,167,28,20.14,551,548,-3,-0.54,"1,567","1,676",109,6.96
,SP,AGUAS DE SAO PEDRO,1,1,0,0.00,34,37,3,8.82,63,2,-61,-96.83,254,271,17,6.69,945,922,-23,-2.43,"1,297","1,233",-64,-4.93
,SP,AGUDOS,867,903,36,4.15,"2,262","2,358",96,4.24,222,248,26,11.71,"1,427","1,611",184,12.89,"4,358","4,522",164,3.76,"9,136","9,642",506,5.54
,SP,ALAMBARI,208,252,44,21.15,160,200,40,25.00,7,11,4,57.14,102,133,31,30.39,365,374,9,2.47,842,970,128,15.20
,SP,ALFREDO MARCONDES,47,54,7,14.89,895,698,-197,-22.01,21,8,-13,-61.90,48,70,22,45.83,355,359,4,1.13,"1,366","1,189",-177,-12.96
,SP,ALTAIR,445,450,5,1.12,23,27,4,17.39,1,1,0,0.00,39,43,4,10.26,266,239,-27,-10.15,774,760,-14,-1.81
,SP,ALTINOPOLIS,"1,549","1,375",-174,-11.23,73,79,6,8.22,35,75,40,114.29,669,691,22,3.29,"1,480","1,476",-4,-0.27,"3,806","3,696",-110,-2.89
,SP,ALTO ALEGRE,70,72,2,2.86,29,31,2,6.90,1,1,0,0.00,101,91,-10,-9.90,253,271,18,7.11,454,466,12,2.64
,SP,ALUMINIO,18,18,0,0.00,"4,590","4,642",52,1.13,283,436,153,54.06,421,431,10,2.38,"1,240","1,239",-1,-0.08,"6,552","6,766",214,3.27
,SP,ALVARES FLORENCE,117,118,1,0.85,63,46,-17,-26.98,2,3,1,50.00,30,30,0,0.00,289,307,18,6.23,501,504,3,0.60
,SP,ALVARES MACHADO,145,145,0,0.00,834,894,60,7.19,107,150,43,40.19,833,939,106,12.73,"1,279","1,387",108,8.44,"3,198","3,515",317,9.91
,SP,ALVARO DE CARVALHO,86,87,1,1.16,2,3,1,50.00,0,0,0,#DIV/0!,43,36,-7,-16.28,208,222,14,6.73,339,348,9,2.65
,SP,ALVINLANDIA,70,78,8,11.43,18,17,-1,-5.56,0,2,2,#DIV/0!,22,31,9,40.91,188,184,-4,-2.13,298,312,14,4.70
,SP,AMERICANA,73,197,124,169.86,"22,417","23,904","1,487",6.63,"2,426","2,639",213,8.78,"15,580","16,362",782,5.02,"31,117","31,657",540,1.74,"71,613","74,759","3,146",4.39
,SP,AMERICO BRASILIENSE,31,32,1,3.23,"4,772","4,777",5,0.10,878,"1,002",124,14.12,976,868,-108,-11.07,"3,407","3,848",441,12.94,"10,064","10,527",463,4.60
,SP,AMERICO DE CAMPOS,65,81,16,24.62,30,30,0,0.00,1,1,0,0.00,73,107,34,46.58,372,353,-19,-5.11,541,572,31,5.73
,SP,AMPARO,"1,588","1,636",48,3.02,"11,642","11,804",162,1.39,456,563,107,23.46,"4,077","4,166",89,2.18,"6,811","7,052",241,3.54,"24,574","25,221",647,2.63
,SP,ANALANDIA,297,776,479,161.28,209,236,27,12.92,3,3,0,0.00,172,192,20,11.63,357,370,13,3.64,"1,038","1,577",539,51.93
,SP,ANDRADINA,666,661,-5,-0.75,"4,880","4,963",83,1.70,593,581,-12,-2.02,"3,421","3,515",94,2.75,"6,536","6,880",344,5.26,"16,096","16,600",504,3.13
,SP,ANGATUBA,"2,029","1,883",-146,-7.20,973,954,-19,-1.95,288,99,-189,-65.63,835,887,52,6.23,"1,526","1,557",31,2.03,"5,651","5,380",-271,-4.80
,SP,ANHEMBI,435,463,28,6.44,89,114,25,28.09,7,5,-2,-28.57,63,67,4,6.35,364,349,-15,-4.12,958,998,40,4.18
,SP,ANHUMAS,104,99,-5,-4.81,27,37,10,37.04,8,12,4,50.00,51,41,-10,-19.61,278,289,11,3.96,468,478,10,2.14
,SP,APARECIDA,74,67,-7,-9.46,541,563,22,4.07,183,166,-17,-9.29,"2,398","2,395",-3,-0.13,"6,486","7,026",540,8.33,"9,682","10,217",535,5.53
,SP,APARECIDA D OESTE,65,102,37,56.92,249,161,-88,-35.34,4,5,1,25.00,82,105,23,28.05,280,321,41,14.64,680,694,14,2.06
,SP,APIAI,"1,139","1,172",33,2.90,937,983,46,4.91,240,234,-6,-2.50,"1,015","1,091",76,7.49,"1,592","1,708",116,7.29,"4,923","5,188",265,5.38
,SP,ARACARIGUAMA,10,41,31,310.00,"3,928","4,409",481,12.25,188,109,-79,-42.02,"1,814","1,936",122,6.73,"4,035","4,384",349,8.65,"9,975","10,879",904,9.06
,SP,ARACATUBA,792,816,24,3.03,"8,663","8,155",-508,-5.86,"1,881","2,183",302,16.06,"14,671","14,684",13,0.09,"25,888","26,966","1,078",4.16,"51,895","52,804",909,1.75
,SP,ARACOIABA DA SERRA,440,477,37,8.41,"1,420","1,656",236,16.62,333,509,176,52.85,982,"1,071",89,9.06,"2,554","2,739",185,7.24,"5,729","6,452",723,12.62
,SP,ARAMINA,122,116,-6,-4.92,3,3,0,0.00,1,1,0,0.00,176,171,-5,-2.84,419,427,8,1.91,721,718,-3,-0.42
,SP,ARANDU,786,723,-63,-8.02,64,76,12,18.75,12,15,3,25.00,106,100,-6,-5.66,461,450,-11,-2.39,"1,429","1,364",-65,-4.55
,SP,ARAPEI,57,60,3,5.26,3,3,0,0.00,0,0,0,#DIV/0!,44,47,3,6.82,249,259,10,4.02,353,369,16,4.53
,SP,ARARAQUARA,"1,000",839,-161,-16.10,"16,707","17,620",913,5.46,"3,373","4,029",656,19.45,"15,658","15,565",-93,-0.59,"37,098","38,943","1,845",4.97,"73,836","76,996","3,160",4.28
,SP,ARARAS,"1,196","1,365",169,14.13,"12,503","12,477",-26,-0.21,"1,215","1,641",426,35.06,"6,884","7,487",603,8.76,"15,543","15,381",-162,-1.04,"37,341","38,351","1,010",2.70
,SP,ARCO-IRIS,49,73,24,48.98,42,38,-4,-9.52,1,1,0,0.00,9,8,-1,-11.11,213,199,-14,-6.57,314,319,5,1.59
,SP,AREALVA,336,358,22,6.55,470,526,56,11.91,23,18,-5,-21.74,192,183,-9,-4.69,551,553,2,0.36,"1,572","1,638",66,4.20
,SP,AREIAS,185,169,-16,-8.65,5,9,4,80.00,0,0,0,#DIV/0!,58,37,-21,-36.21,370,394,24,6.49,618,609,-9,-1.46
,SP,AREIOPOLIS,372,592,220,59.14,78,106,28,35.90,7,5,-2,-28.57,252,256,4,1.59,509,507,-2,-0.39,"1,218","1,466",248,20.36
,SP,ARIRANHA,667,433,-234,-35.08,"1,532","1,430",-102,-6.66,23,22,-1,-4.35,197,199,2,1.02,629,591,-38,-6.04,"3,048","2,675",-373,-12.24
,SP,ARTUR NOGUEIRA,837,903,66,7.89,"3,024","3,435",411,13.59,179,251,72,40.22,"2,294","2,380",86,3.75,"3,069","3,079",10,0.33,"9,403","10,048",645,6.86
,SP,ARUJA,115,134,19,16.52,"9,161","9,850",689,7.52,789,"1,034",245,31.05,"6,259","6,543",284,4.54,"8,832","9,309",477,5.40,"25,156","26,870","1,714",6.81
,SP,ASPASIA,17,20,3,17.65,2,2,0,0.00,0,0,0,#DIV/0!,16,14,-2,-12.50,170,182,12,7.06,205,218,13,6.34
,SP,ASSIS,267,291,24,8.99,"1,897","2,011",114,6.01,"1,493","1,471",-22,-1.47,"7,601","7,910",309,4.07,"10,580","11,065",485,4.58,"21,838","22,748",910,4.17
