,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2021,,Brasil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,5 - Comércio,,,Total,,,
,,,2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN,NOVA CRUZ,42,43,1,2.38,75,80,5,6.67,221,209,-12,-5.43,801,833,32,4.00,"1,618","1,793",175,10.82,"2,757","2,958",201,7.29
,RN,OLHO-D AGUA DO BORGES,0,0,0,#DIV/0!,1,1,0,0.00,94,60,-34,-36.17,13,11,-2,-15.38,235,284,49,20.85,343,356,13,3.79
,RN,OURO BRANCO,0,3,3,#DIV/0!,65,122,57,87.69,2,0,-2,-100.00,51,65,14,27.45,268,288,20,7.46,386,478,92,23.83
,RN,PARANA,0,0,0,#DIV/0!,9,9,0,0.00,0,0,0,#DIV/0!,4,5,1,25.00,184,180,-4,-2.17,197,194,-3,-1.52
,RN,PARAU,2,2,0,0.00,4,3,-1,-25.00,7,2,-5,-71.43,19,17,-2,-10.53,183,215,32,17.49,215,239,24,11.16
,RN,PARAZINHO,4,1,-3,-75.00,21,20,-1,-4.76,0,0,0,#DIV/0!,47,50,3,6.38,244,258,14,5.74,316,329,13,4.11
,RN,PARELHAS,7,8,1,14.29,"1,458","1,661",203,13.92,24,28,4,16.67,579,568,-11,-1.90,"1,006","1,271",265,26.34,"3,074","3,536",462,15.03
,RN,RIO DO FOGO,159,168,9,5.66,32,54,22,68.75,3,11,8,266.67,29,41,12,41.38,369,505,136,36.86,592,779,187,31.59
,RN,PASSA E FICA,4,5,1,25.00,35,49,14,40.00,24,32,8,33.33,169,173,4,2.37,430,893,463,107.67,662,"1,152",490,74.02
,RN,PASSAGEM,2,0,-2,-100.00,1,11,10,1000.00,1,2,1,100.00,14,15,1,7.14,133,376,243,182.71,151,404,253,167.55
