Area,Setor,Municipio,Empregados
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Taubaté,51812
"Ciências naturais, matemática e estatística",Serviços,Taubaté,51812
"Negócios, administração e direito",Serviços,Taubaté,51812
"Ciências sociais, comunicação e informação",Serviços,Taubaté,51812
Artes e humanidades,Serviços,Taubaté,51812
"Negócios, administração e direito",Comércio,Sorocaba,51493
Serviços,Comércio,Sorocaba,51493
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Sorocaba,51493
"Ciências naturais, matemática e estatística",Comércio,Sorocaba,51493
"Negócios, administração e direito",Comércio,Barueri,51337
Serviços,Comércio,Barueri,51337
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Barueri,51337
"Ciências naturais, matemática e estatística",Comércio,Barueri,51337
"Ciências naturais, matemática e estatística",Indústria,Campinas,48529
"Agricultura, silvicultura, pesca e veterinária",Indústria,Campinas,48529
"Engenharia, produção e construção",Indústria,Campinas,48529
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Campinas,48529
"Ciências naturais, matemática e estatística",Indústria,Jundiaí,48357
"Agricultura, silvicultura, pesca e veterinária",Indústria,Jundiaí,48357
"Engenharia, produção e construção",Indústria,Jundiaí,48357
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Jundiaí,48357
Educação,Serviços,São Carlos,47796
Serviços,Serviços,São Carlos,47796
Saúde e bem-estar,Serviços,São Carlos,47796
"Agricultura, silvicultura, pesca e veterinária",Serviços,São Carlos,47796
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São Carlos,47796
"Ciências naturais, matemática e estatística",Serviços,São Carlos,47796
"Negócios, administração e direito",Serviços,São Carlos,47796
"Ciências sociais, comunicação e informação",Serviços,São Carlos,47796
Artes e humanidades,Serviços,São Carlos,47796
Educação,Serviços,Araraquara,47608
Serviços,Serviços,Araraquara,47608
Saúde e bem-estar,Serviços,Araraquara,47608
"Agricultura, silvicultura, pesca e veterinária",Serviços,Araraquara,47608
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Araraquara,47608
"Ciências naturais, matemática e estatística",Serviços,Araraquara,47608
"Negócios, administração e direito",Serviços,Araraquara,47608
"Ciências sociais, comunicação e informação",Serviços,Araraquara,47608
Artes e humanidades,Serviços,Araraquara,47608
"Ciências naturais, matemática e estatística",Indústria,Piracicaba,46161
"Agricultura, silvicultura, pesca e veterinária",Indústria,Piracicaba,46161
"Engenharia, produção e construção",Indústria,Piracicaba,46161
