Curso,Instituicao,Estado,Ano,Taxa
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2020,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2023,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2023,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2023,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2023,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2022,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2022,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2022,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2021,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2021,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2021,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2021,98.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,98.7
LETRAS,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2021,98.7
LETRAS,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2023,98.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,98.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,98.7
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,São Paulo,2022,98.7
